Gene,SPACER Score Before Training,SPACER Score After Training,Difference
MARCH6,-1.0,2.086580991744995,3.086580991744995
XIST,-1.0,2.0847396850585938,3.0847396850585938
SLC35B3,-1.0,2.0836944580078125,3.0836944580078125
MAPK3,-1.0,2.080533027648926,3.080533027648926
CBR4,-1.0,2.0799224376678467,3.0799224376678467
LETM1,-1.0,2.07944917678833,3.07944917678833
U2AF2,-1.0,2.067286729812622,3.067286729812622
SNHG6,-1.0,2.062704086303711,3.062704086303711
PTGFRN,-1.0,2.0611765384674072,3.0611765384674072
PSMD14,-1.0,2.058805465698242,3.058805465698242
SND1,-1.0,2.0584194660186768,3.0584194660186768
MYOF,-1.0,2.0495729446411133,3.0495729446411133
SNHG25,-1.0,2.045923948287964,3.045923948287964
KLK6,-1.0,2.0437655448913574,3.0437655448913574
RAD23B,-1.0,2.0412356853485107,3.0412356853485107
UBQLN1,-1.0,2.0403316020965576,3.0403316020965576
B3GNT3,-1.0,2.038630723953247,3.038630723953247
TRIM21,-1.0,2.033625364303589,3.033625364303589
FAT1,-1.0,2.031870126724243,3.031870126724243
PRKCSH,-1.0,2.031630277633667,3.031630277633667
MOB1B,-1.0,2.030651807785034,3.030651807785034
WBP11,-1.0,2.0293705463409424,3.0293705463409424
VPS51,-1.0,2.0256640911102295,3.0256640911102295
PNPO,-1.0,2.022709846496582,3.022709846496582
YARS,-1.0,2.021101951599121,3.021101951599121
PI4KA,-1.0,2.01962947845459,3.01962947845459
KDSR,-1.0,2.0178892612457275,3.0178892612457275
RAD9A,-1.0,2.015239953994751,3.015239953994751
NELFE,-1.0,2.013014554977417,3.013014554977417
QARS,-1.0,2.010430097579956,3.010430097579956
MRPL24,-1.0,2.0070478916168213,3.0070478916168213
FUNDC2,-1.0,2.0059940814971924,3.0059940814971924
